City,Lat,Lng
Birmingham|England|United Kingdom,52.5,-1.81
Athens|Attica|Greece,37.98,23.74
Angers|Pays de la Loire|France,47.46,-0.55
New Taipei|New Taipei|Taiwan,25.02,121.47
Beijing|Beijing|China,39.9,116.41
Funchal|@|Portugal,32.63,-16.94
Westminster|England|United Kingdom,51.52,-0.15
Chicago|Illinois|United States,41.88,-87.67
Horlivka|@|Ukraine,48.3,38.02
Yekaterinburg|Sverdlovsk Oblast|Russia,56.83,60.6
Rome|Lazio|Italy,41.93,12.61
Newcastle|New South Wales|Australia,-32.89,151.7
Minneapolis|Minnesota|United States,44.98,-93.27
Tambaram|Tamil Nadu|India,12.9,80.12
Laishan District|Shandong|China,37.49,121.44
Sudbury|Ontario|Canada,46.52,-80.99
The Hague|South Holland|Netherlands,52.07,4.31
Des Moines|Iowa|United States,41.58,-93.66
London|England|United Kingdom,51.52,-0.13
Brussels|@|Belgium,50.85,4.36
Horsham|England|United Kingdom,51.04,-0.36
Vellore|Tamil Nadu|India,12.88,79.12
George Town|Penang|Malaysia,5.42,100.31
Moriguchi|@|Japan,34.73,135.56
Saint-Denis|Ile-de-France|France,48.92,2.35
Jecheon-si|@|South Korea,37.12,128.2
Marília|São Paulo|Brazil,-22.23,-49.94
Licheng District|Shandong|China,36.67,117.05
Harrisburg|Pennsylvania|United States,40.26,-76.88
Batna|Batna|Algeria,35.54,6.15
Jalpaiguri|West Bengal|India,26.55,88.7
Tondabayashi|@|Japan,34.48,135.58
Blagoevgrad|@|Bulgaria,42.02,23.09
Bogota|@|Colombia,4.71,-74.03
Hartford|Connecticut|United States,41.77,-72.67
Brisbane City|Queensland|Australia,-27.46,153.03
Nanded|Maharashtra|India,19.1,77.29
Ipoh|Perak|Malaysia,4.59,101.13
Copenhagen|@|Denmark,55.68,12.57
Darbhanga|Bihar|India,26.16,85.9
Lille|Hauts-de-France|France,50.62,3.08
Denver|Colorado|United States,39.66,-105.03
Orlando|Florida|United States,28.45,-81.4
Mukilteo|Washington|United States,47.9,-122.32
Accra|Greater Accra Region|Ghana,5.6,-0.24
Pasadena|California|United States,34.15,-118.08
Washington|District of Columbia|United States,38.91,-77.04
Qingyang District|Sichuan|China,30.67,104.08
(Old) Ottawa|Ontario|Canada,45.41,-75.74
Detroit|Michigan|United States,42.36,-83.06
Buffalo|New York|United States,42.9,-78.86
Wellington|Wellington|New Zealand,-41.29,174.76
New Delhi|Delhi|India,28.63,77.22
Honolulu|Hawaii|United States,21.32,-157.86
Mountain View|California|United States,37.42,-122.07
Baldwin Park|California|United States,34.09,-117.95
Bloomington|Minnesota|United States,44.86,-93.23
New York|New York|United States,40.79,-73.95
Vienna|Vienna|Austria,48.19,16.37
Seattle|Washington|United States,47.6,-122.33
Fort Lauderdale|Florida|United States,26.1,-80.12
Maykop|Republic of Adygea|Russia,44.6,40.11
Nairobi|Nairobi County|Kenya,-1.3,36.8
Seongnam-si|@|South Korea,37.39,127.12
Augusta|Maine|United States,44.3,-69.77
Cumberland|Kentucky|United States,36.97,-83.0
Pueblo|Colorado|United States,38.26,-104.64
Edmonton|Alberta|Canada,53.54,-113.5
Los Angeles|California|United States,34.08,-118.25
Netanya|Center District|Israel,32.35,34.86
High Point|North Carolina|United States,35.97,-80.0
Beaverton|Oregon|United States,45.45,-122.79
Stockholm|@|Sweden,59.33,18.06
Iksan-si|@|South Korea,35.97,126.96
Freiburg im Breisgau|Baden-Württemberg|Germany,48.0,7.85
Hanyu|@|Japan,36.16,139.53
Nagercoil|Tamil Nadu|India,8.2,77.43
Bethesda|Maryland|United States,39.01,-77.1
Raleigh|North Carolina|United States,35.82,-78.7
High Peak|England|United Kingdom,53.37,-1.82
Villeurbanne|Auvergne-Rhône-Alpes|France,45.78,4.87
Naples|Campania|Italy,40.85,14.25
Roswell|Georgia|United States,34.04,-84.31
Medford|Oregon|United States,42.32,-122.83
Salt Lake City|Utah|United States,40.77,-111.84
Rourkela|Odisha|India,22.23,84.81
Memphis|Tennessee|United States,35.15,-89.99
Zhifu District|Shandong|China,37.54,121.39
Paris|Ile-de-France|France,48.85,2.36
Shimla|Himachal Pradesh|India,31.11,77.14
Bunkyo|@|Japan,35.72,139.74
Stuttgart|Baden-Württemberg|Germany,48.82,9.09
Kowloon|Hong Kong|China,22.32,114.18
Sydney|New South Wales|Australia,-33.87,151.22
Burnaby|British Columbia|Canada,49.28,-122.92
Salford|England|United Kingdom,53.52,-2.31
Akashi|@|Japan,34.66,135.03
Kaiserslautern|Rhineland-Palatinate|Germany,49.43,7.75
Coimbatore|Tamil Nadu|India,11.03,77.02
Berkeley|California|United States,37.87,-122.27
Framingham|Massachusetts|United States,42.31,-71.39
Montreal|Quebec|Canada,45.5,-73.58
Balcalı Mahallesi|@|Turkey,37.06,35.36
Indianapolis|Indiana|United States,39.83,-86.18
Bellevue|Nebraska|United States,41.15,-95.92
Abilene|Texas|United States,32.47,-99.71
Waterford|@|Ireland,52.25,-7.08
Cleves|North Rhine-Westphalia|Germany,51.8,6.13
Dartmouth|Massachusetts|United States,41.63,-71.01
Ansan|@|South Korea,37.31,126.81
Tirupati|Andhra Pradesh|India,13.64,79.41
Imabari|@|Japan,34.06,132.97
Newton|Massachusetts|United States,42.29,-71.19
Palo Alto|California|United States,37.41,-122.14
Islamabad|Islamabad Capital Territory|Pakistan,33.71,73.07
Chester|England|United Kingdom,53.2,-2.9
Indore|Madhya Pradesh|India,22.69,75.88
Reigate and Banstead|England|United Kingdom,51.34,-0.19
Piura|Piura|Peru,-5.17,-80.64
Arcueil|Ile-de-France|France,48.81,2.33
Nanshan District|Guangdong Province|China,22.54,113.93
Syktyvkar|Komi Republic|Russia,61.66,50.82
Midnapore|West Bengal|India,22.42,87.33
Avadi|Tamil Nadu|India,13.14,80.05
Buenos Aires|Autonomous City of Buenos Aires|Argentina,-34.63,-58.46
Perth|Western Australia|Australia,-31.98,115.82
Seoul|@|South Korea,37.62,127.1
"Corfu|Peloponnese, Western Greece and the Ionian|Greece",39.62,19.92
Copiapó|Atacama Region|Chile,-27.36,-70.35
Dar es Salaam|@|Tanzania,-6.85,39.25
Irving|Texas|United States,32.81,-96.93
Zurich|Zurich|Switzerland,47.41,8.54
Chorrillos|Lima|Peru,-12.22,-76.98
Stamford|Connecticut|United States,41.05,-73.54
Palermo|Sicily|Italy,38.12,13.37
Higashiosaka|@|Japan,34.65,135.59
Kingsport|Tennessee|United States,36.56,-82.6
Hayward|California|United States,37.63,-122.12
Iowa City|Iowa|United States,41.66,-91.54
Samarkand|Samarqand Region|Uzbekistan,39.64,66.96
Mexico City|Mexico City|Mexico,19.51,-99.13
Noumea|@|France,-22.3,166.44
Arlington|Virginia|United States,38.87,-77.06
Philadelphia|Pennsylvania|United States,39.95,-75.16
Jackson|Mississippi|United States,32.33,-90.16
Brandon|Manitoba|Canada,49.84,-99.92
Tashkent|@|Uzbekistan,41.34,69.33
Kozhikode|Kerala|India,11.26,75.78
Cayenne|French Guiana|France,4.92,-52.31
Bakersfield|California|United States,35.41,-118.97
Alchevsk|Luhansk Oblast|Ukraine,48.47,38.81
Bruges|West Flanders|Belgium,51.19,3.21
Cincinnati|Ohio|United States,39.11,-84.51
Lexington|Kentucky|United States,38.02,-84.5
Gyeongsan-si|@|South Korea,35.88,128.82
Downey|California|United States,33.94,-118.13
Findlay|Ohio|United States,41.02,-83.65
Phoenix|Arizona|United States,33.46,-111.95
Cork|@|Ireland,51.89,-8.51
Charles Town|West Virginia|United States,39.29,-77.86
Sceaux|Ile-de-France|France,48.77,2.29
Luzhou|Sichuan|China,28.88,105.44
Pequannock Township|New Jersey|United States,40.96,-74.31
Takizawa|@|Japan,39.8,141.14
Fairfax|Virginia|United States,38.85,-77.3
Castelló de la Plana|Valencian Community|Spain,39.99,-0.07
Santiago de Compostela|Galicia|Spain,42.88,-8.56
Saint-Denis|Réunion|France,-20.9,55.48
Leipzig|Saxony|Germany,51.34,12.35
Pittsburgh|Pennsylvania|United States,40.45,-80.0
Qixing|Guangxi|China,25.28,110.3
Baotou City|Inner Mongolia|China,40.65,109.89
دهستان بازکیاگوراب|Gilan Province|Iran,37.19,50.01
Nicosia Municipality|@|Cyprus,35.18,33.38
Palmas|Tocantins|Brazil,-10.17,-48.33
Thu Duc City|@|Vietnam,10.87,106.79
Barasat|West Bengal|India,22.74,88.44
Puducherry|Puducherry|India,11.94,79.84
San Jose|California|United States,37.42,-121.93
Lanzhou|Gansu|China,36.05,103.86
Seville|Andalusia|Spain,37.38,-5.99
Kiel|Schleswig-Holstein|Germany,54.34,10.12
Ulyanovsk|Ulyanovsk Oblast|Russia,54.35,48.39
Hamilton|Ontario|Canada,43.26,-79.92
Daytona Beach|Florida|United States,29.21,-81.0
Tochigi|@|Japan,36.36,139.7
Dublin|@|Ireland,53.34,-6.27
Chelyabinsk|Chelyabinsk Oblast|Russia,55.16,61.39
Munich|Bavaria|Germany,48.14,11.55
Baohe District|Anhui|China,31.82,117.28
Lebanon|New Hampshire|United States,43.68,-72.26
Nishinomiya|@|Japan,34.72,135.38
Rajkot|Gujarat|India,22.24,70.9
Bath|England|United Kingdom,51.39,-2.36
Yuzhong District|Chongqing|China,29.56,106.55
Mumbai|Maharashtra|India,19.21,72.83
Sirte|Sirte|Libya,31.21,16.59
Trafford|England|United Kingdom,53.45,-2.37
State College|Pennsylvania|United States,40.79,-77.87
Frankfurt|Hesse|Germany,50.11,8.67
Hengshui City|Hebei|China,37.74,115.67
Worcester|Massachusetts|United States,42.28,-71.76
Cambridge|Massachusetts|United States,42.38,-71.12
Adelaide|South Australia|Australia,-35.02,138.57
Durgapur|West Bengal|India,23.54,87.34
Chattanooga|Tennessee|United States,35.03,-85.28
Houston|Texas|United States,29.78,-95.63
Federal Way|Washington|United States,47.3,-122.29
Colorado Springs|Colorado|United States,39.0,-104.8
Ramsey|New Jersey|United States,41.07,-74.12
Muñoz|Nueva Ecija|Philippines,15.67,120.89
Bridgeport|Connecticut|United States,41.19,-73.17
Taichung|Taichung|Taiwan,24.22,120.69
Gwangju|@|South Korea,35.19,126.85
Palma|Balearic Islands|Spain,39.52,2.74
Dundee|Scotland|United Kingdom,56.46,-2.97
Madurai|Tamil Nadu|India,9.94,78.14
Lafayette|Louisiana|United States,30.22,-92.05
Leeds|England|United Kingdom,53.8,-1.55
Victoria|British Columbia|Canada,48.43,-123.36
Jhansi|Uttar Pradesh|India,25.45,78.61
Flint|Michigan|United States,43.02,-83.7
Columbus|Ohio|United States,39.95,-82.98
Darmstadt|Hesse|Germany,49.87,8.65
San Mateo|California|United States,37.54,-122.29
Chennai|Tamil Nadu|India,13.09,80.28
East Palo Alto|California|United States,37.38,-122.19
Louisville|Kentucky|United States,38.25,-85.77
Dhaka|Dhaka Division|Bangladesh,23.78,90.37
Calderdale|England|United Kingdom,53.7,-1.86
Lakewood|Colorado|United States,39.74,-105.07
Melbourne|Victoria|Australia,-38.37,145.02
Bristol|England|United Kingdom,51.46,-2.59
